id,date,type,nom_gare,year,comptage_normalise
77,2021-01-19,Optique,Paris Gare de Lyon,2021,
78,2021-01-19,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
79,2021-01-19,"Vêtements, chaussures",Paris Gare de Lyon,2021,
80,2021-01-20,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
81,2021-01-20,"Articles de sport, loisirs, camping",Paris Gare de Lyon,2021,
82,2021-01-20,"Vêtements, chaussures",Paris Gare de Lyon,2021,
83,2021-01-20,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
84,2021-01-20,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
85,2021-01-20,Optique,Paris Gare de Lyon,2021,
86,2021-01-20,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
87,2021-01-21,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
88,2021-01-21,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
89,2021-01-21,"Vêtements, chaussures",Paris Gare de Lyon,2021,
90,2021-01-21,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
91,2021-01-21,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
92,2021-01-21,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
93,2021-01-21,Optique,Paris Gare de Lyon,2021,
94,2021-01-21,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
95,2021-01-21,Articles médicaux,Paris Gare de Lyon,2021,
96,2021-01-22,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
97,2021-01-22,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
98,2021-01-22,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
99,2021-01-22,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
100,2021-01-22,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
101,2021-01-23,"Vêtements, chaussures",Paris Gare de Lyon,2021,
102,2021-01-23,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
103,2021-01-23,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
104,2021-01-23,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
105,2021-01-23,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
106,2021-01-24,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
107,2021-01-24,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
108,2021-01-24,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
109,2021-01-24,Optique,Paris Gare de Lyon,2021,
110,2021-01-24,Articles médicaux,Paris Gare de Lyon,2021,
111,2021-01-24,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
112,2021-01-25,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
113,2021-01-25,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
114,2021-01-26,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
115,2021-01-26,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
116,2021-01-26,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
117,2021-01-26,Optique,Paris Gare de Lyon,2021,
118,2021-01-26,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
119,2021-01-27,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
120,2021-01-27,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
121,2021-01-27,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
122,2021-01-27,"Articles d enfants, de puériculture",Paris Gare de Lyon,2021,
123,2021-01-27,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
124,2021-01-28,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
125,2021-01-28,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
126,2021-01-28,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
127,2021-01-28,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
128,2021-01-28,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
129,2021-01-29,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
130,2021-01-29,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
131,2021-01-29,Optique,Paris Gare de Lyon,2021,
132,2021-01-30,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
133,2021-01-31,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
134,2021-01-31,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
135,2021-01-31,"Vêtements, chaussures",Paris Gare de Lyon,2021,
136,2021-01-31,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
137,2021-01-31,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
138,2021-01-31,"Bijoux, montres",Paris Gare de Lyon,2021,
139,2021-02-01,Articles médicaux,Paris Gare de Lyon,2021,
140,2021-02-01,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
141,2021-02-01,Optique,Paris Gare de Lyon,2021,
142,2021-02-01,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
143,2021-02-01,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
144,2021-02-01,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
145,2021-02-02,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
146,2021-02-02,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
147,2021-02-02,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
148,2021-02-03,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
149,2021-02-03,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
150,2021-02-03,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
151,2021-02-03,"Vêtements, chaussures",Paris Gare de Lyon,2021,
152,2021-02-04,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
153,2021-02-04,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
154,2021-02-04,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
155,2021-02-04,Divers,Paris Gare de Lyon,2021,
156,2021-02-05,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
157,2021-02-05,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
158,2021-02-05,Divers,Paris Gare de Lyon,2021,
159,2021-02-05,"Bijoux, montres",Paris Gare de Lyon,2021,
160,2021-02-06,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
161,2021-02-06,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
162,2021-02-07,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
163,2021-02-07,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
164,2021-02-07,Divers,Paris Gare de Lyon,2021,
165,2021-02-07,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
166,2021-02-07,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
167,2021-02-08,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
168,2021-02-08,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
169,2021-02-08,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
170,2021-02-08,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
171,2021-02-09,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
172,2021-02-09,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
173,2021-02-09,"Bijoux, montres",Paris Gare de Lyon,2021,
174,2021-02-09,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
175,2021-02-09,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
176,2021-02-09,Parapluies,Paris Gare de Lyon,2021,
177,2021-02-09,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
178,2021-02-09,Optique,Paris Gare de Lyon,2021,
179,2021-02-10,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
180,2021-02-10,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
181,2021-02-10,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
182,2021-02-11,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
183,2021-02-11,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
184,2021-02-11,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
185,2021-02-11,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
186,2021-02-12,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
187,2021-02-12,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
188,2021-02-12,Optique,Paris Gare de Lyon,2021,
189,2021-02-13,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
190,2021-02-13,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
191,2021-02-13,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
192,2021-02-13,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
193,2021-02-13,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
194,2021-02-14,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
195,2021-02-14,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
196,2021-02-14,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
197,2021-02-15,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
198,2021-02-15,"Articles de sport, loisirs, camping",Paris Gare de Lyon,2021,
199,2021-02-16,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
200,2021-02-16,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
201,2021-02-16,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
202,2021-02-16,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
203,2021-02-16,"Vêtements, chaussures",Paris Gare de Lyon,2021,
204,2021-02-16,Optique,Paris Gare de Lyon,2021,
205,2021-02-17,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
206,2021-02-17,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
207,2021-02-17,Optique,Paris Gare de Lyon,2021,
208,2021-02-17,"Vêtements, chaussures",Paris Gare de Lyon,2021,
209,2021-02-17,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
210,2021-02-17,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
211,2021-02-17,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
212,2021-02-18,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
213,2021-02-18,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
214,2021-02-18,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
215,2021-02-18,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
216,2021-02-19,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
217,2021-02-19,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
218,2021-02-20,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
219,2021-02-21,"Vêtements, chaussures",Paris Gare de Lyon,2021,
220,2021-02-21,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
221,2021-02-21,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
222,2021-02-21,"Articles de sport, loisirs, camping",Paris Gare de Lyon,2021,
223,2021-02-21,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
224,2021-02-21,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
225,2021-02-21,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
226,2021-02-22,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
227,2021-02-22,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
228,2021-02-23,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
229,2021-02-23,"Vêtements, chaussures",Paris Gare de Lyon,2021,
230,2021-02-23,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
231,2021-02-23,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
232,2021-02-23,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
233,2021-02-23,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
234,2021-02-23,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
235,2021-02-23,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
236,2021-02-24,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
237,2021-02-24,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
238,2021-02-24,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
239,2021-02-24,"Articles de sport, loisirs, camping",Paris Gare de Lyon,2021,
240,2021-02-24,Optique,Paris Gare de Lyon,2021,
241,2021-02-24,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
242,2021-02-24,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
243,2021-02-24,"Vêtements, chaussures",Paris Gare de Lyon,2021,
244,2021-02-25,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
245,2021-02-25,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
246,2021-02-25,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
247,2021-02-25,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
248,2021-02-26,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
249,2021-02-26,Parapluies,Paris Gare de Lyon,2021,
250,2021-02-26,Optique,Paris Gare de Lyon,2021,
251,2021-02-26,"Vêtements, chaussures",Paris Gare de Lyon,2021,
252,2021-02-26,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
253,2021-02-26,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
254,2021-02-26,Articles médicaux,Paris Gare de Lyon,2021,
255,2021-02-26,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
256,2021-02-26,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
