#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-12-01,10,7,28,8,10,8,0.6,87,10,1013,90,10,6,4,176,353,176,0,2,3.1,météo défavorable,16:56:00,08:23:00,8
2021-12-02,6,3,15,5,6,4,0.8,78,9,1012,68.375,6,3,1,263,116,371,0.3,1,6.8,météo très défavorable,16:56:00,08:24:00,5
2021-12-03,4,2,22,2,4,3,0.5,79,9,1016,67,4,3,-2,116,116,266,0,2,6.8,météo très défavorable,16:55:00,08:25:00,2
2021-12-04,11,6,23,9,10,7,1.9,91,7.75,1007,92.5,11,10,5,266,122,176,0,2,3.1,météo défavorable,16:55:00,08:26:00,11
2021-12-05,6,4,15,4,6,6,0.8,90,7.875,1009,79.875,6,3,2,266,119,266,0,2,5,météo très défavorable,16:55:00,08:27:00,5
2021-12-06,6,5,18,5,6,5,1.1,84,8.875,1013,79.125,6,4,2,176,116,296,0,2,5,météo très défavorable,16:54:00,08:29:00,6
2021-12-07,6,3,19,4,6,6,0.8,84,8.875,1016,48.625,6,3,1,116,113,119,0,1,8.2,météo très défavorable,16:54:00,08:30:00,5
2021-12-08,7,4,17,4,6,5,0.6,95,9.875,999,59,7,3,0,317,116,122,0,2,8.2,météo très défavorable,16:54:00,08:31:00,4
2021-12-09,7,3,18,3,5,6,0.1,78,9.875,1005,59.875,7,2,-1,119,200,119,0,2,5,météo très défavorable,16:54:00,08:32:00,3
2021-12-10,8,5,24,7,8,7,1.7,81,7.875,1007,75.5,8,4,2,296,116,176,0,2,5,météo très défavorable,16:54:00,08:33:00,5
2021-12-11,8,4,12,4,6,7,0,81,10,1024,52.75,8,4,1,113,116,119,0,3,5,météo très défavorable,16:54:00,08:34:00,4
2021-12-12,12,6,13,6,9,10,0.3,96,8,1026,71,12,8,4,266,116,116,0,2,6.8,météo défavorable,16:54:00,08:35:00,6
2021-12-13,13,5,7,6,9,10,0,95,7,1027,15.25,13,8,4,143,113,113,0,2,8.2,météo correcte,16:54:00,08:36:00,6
2021-12-14,11,5,4,6,9,10,0,89,9,1029,13,11,7,5,113,113,113,0,2,8.2,météo très défavorable,16:54:00,08:36:00,6
2021-12-15,12,7,6,8,11,10,0,96,8,1033,56,12,7,8,143,116,116,0,3,6.8,météo défavorable,16:54:00,08:37:00,7
2021-12-16,11,5,10,6,8,10,0,97,8,1036,19.875,11,8,4,143,116,113,0,3,6.8,météo très défavorable,16:54:00,08:38:00,6
2021-12-17,11,5,15,5,9,8,0,91,10,1037,3.25,11,6,3,113,113,113,0,3,8.2,météo très défavorable,16:55:00,08:39:00,5
2021-12-18,11,5,15,5,9,9,0,90,10,1036,8.75,11,6,2,113,113,113,0,3,8.2,météo très défavorable,16:55:00,08:39:00,5
2021-12-19,8,4,12,5,6,7,0,96,8,1035,37.75,8,5,2,113,116,116,0,3,6.8,météo très défavorable,16:55:00,08:40:00,5
2021-12-20,7,3,17,5,5,7,0,87,10,1028,41.625,7,4,1,113,119,113,0,3,4.9,météo très défavorable,16:56:00,08:41:00,6
2021-12-21,7,0,12,1,5,5,0,67,10,1026,0,7,0,-3,113,113,113,0,2,8.2,météo très défavorable,16:56:00,08:41:00,1
2021-12-22,6,-1,9,-1,5,3,0,67,10,1025,27.125,6,0,-3,116,113,116,0,2,6.8,météo très défavorable,16:57:00,08:42:00,0
2021-12-23,8,1,12,1,6,7,0,81,9,1019,25.5,8,6,-2,116,113,113,0,2,8.2,météo très défavorable,16:57:00,08:42:00,1
2021-12-24,9,7,11,7,9,9,0.8,97,4.75,1013,95.375,9,8,5,266,176,122,0,2,3.1,météo défavorable,16:58:00,08:43:00,7
