#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-12-01,8,5,13,5,7,8,0,81,10,1025,57.25,8,4,2,119,122,116,0,2,5,météo très défavorable,16:56:00,08:22:00,7
2022-12-02,7,4,16,4,6,6,0,83,10,1025,73.75,7,2,1,122,116,122,0,2,6.8,météo très défavorable,16:56:00,08:24:00,4
2022-12-03,3,1,15,1,2,3,0,86,10,1021,98.875,3,0,-4,326,122,122,0,1,3.1,météo très défavorable,16:55:00,08:25:00,1
2022-12-04,5,1,12,1,4,5,0,82,10,1016,62.75,5,1,-3,116,122,122,0,2,5,météo très défavorable,16:55:00,08:26:00,1
2022-12-05,5,3,8,3,4,5,0.3,83,9,1022,99.25,5,2,1,266,122,122,0,1,3.1,météo très défavorable,16:55:00,08:27:00,3
2022-12-06,6,2,10,3,5,5,0,80,10,1023,78.625,6,2,1,122,116,122,0,2,5,météo très défavorable,16:54:00,08:28:00,2
2022-12-07,6,2,6,3,5,5,0,90,10,1022,58.125,6,2,1,116,119,116,0,2,5,météo très défavorable,16:54:00,08:29:00,3
2022-12-08,5,2,5,2,4,4,0,91,10,1017,51.625,5,1,2,122,119,113,0,2,5,météo très défavorable,16:54:00,08:31:00,2
2022-12-09,6,-1,11,-0,3,4,0,84,10,1009,6.5,6,0,-3,113,113,113,0,2,8.2,météo très défavorable,16:54:00,08:32:00,0
2022-12-10,5,-1,8,-1,4,4,0,84,10,1012,2.625,5,0,-3,113,113,113,0,2,8.2,météo très défavorable,16:54:00,08:33:00,-1
2022-12-11,3,-1,7,-1,2,2,0,75,10,1013,25,3,0,-3,113,116,116,0,2,8.2,météo très défavorable,16:54:00,08:34:00,0
2022-12-12,3,-1,10,-1,1,1,0,75,10,1014,60.25,3,0,-4,116,326,116,0,1,4.9,météo très défavorable,16:54:00,08:35:00,-1
2022-12-13,2,-2,17,-2,1,1,0,66,10,1010,38.125,2,0,-6,113,113,116,0,2,6.8,météo très défavorable,16:54:00,08:35:00,-1
