date,type,gare
2021-01-14,bagages,Paris Gare de Lyon
2021-01-14,bagages,Paris Gare de Lyon
2021-01-14,papiers,Paris Gare de Lyon
2021-01-14,electronique,Paris Gare de Lyon
2021-01-14,papiers,Paris Gare de Lyon
2021-01-14,bagages,Paris Gare de Lyon
2021-01-14,bagages,Paris Gare de Lyon
2021-01-14,bagages,Paris Gare de Lyon
2021-01-15,electronique,Paris Gare de Lyon
2021-01-15,electronique,Paris Gare de Lyon
2021-01-15,bagages,Paris Gare de Lyon
2021-01-15,optique,Paris Gare de Lyon
2021-01-15,bagages,Paris Gare de Lyon
2021-01-15,bagages,Paris Gare de Lyon
2021-01-15,clé,Paris Gare de Lyon
2021-01-15,optique,Paris Gare de Lyon
2021-01-16,bagages,Paris Gare de Lyon
2021-01-16,electronique,Paris Gare de Lyon
2021-01-17,divers,Paris Gare de Lyon
2021-01-17,bagages,Paris Gare de Lyon
2021-01-17,bagages,Paris Gare de Lyon
2021-01-17,bagages,Paris Gare de Lyon
2021-01-18,electronique,Paris Gare de Lyon
2021-01-18,electronique,Paris Gare de Lyon
2021-01-18,electronique,Paris Gare de Lyon
2021-01-18,papiers,Paris Gare de Lyon
2021-01-18,clé,Paris Gare de Lyon
2021-01-18,bagages,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,clé,Paris Gare de Lyon
2021-01-19,clé,Paris Gare de Lyon
2021-01-19,optique,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,electronique,Paris Gare de Lyon
2021-01-19,electronique,Paris Gare de Lyon
2021-01-19,vetements,Paris Gare de Lyon
2021-01-19,bagages,Paris Gare de Lyon
2021-01-19,optique,Paris Gare de Lyon
2021-01-20,bagages,Paris Gare de Lyon
2021-01-20,bagages,Paris Gare de Lyon
2021-01-20,bagages,Paris Gare de Lyon
2021-01-20,sport/loisirs,Paris Gare de Lyon
2021-01-20,vetements,Paris Gare de Lyon
2021-01-20,vetements,Paris Gare de Lyon
2021-01-20,papiers,Paris Gare de Lyon
2021-01-20,papiers,Paris Gare de Lyon
2021-01-20,clé,Paris Gare de Lyon
2021-01-20,papiers,Paris Gare de Lyon
2021-01-20,papiers,Paris Gare de Lyon
2021-01-20,optique,Paris Gare de Lyon
2021-01-20,electronique,Paris Gare de Lyon
2021-01-20,clé,Paris Gare de Lyon
2021-01-20,clé,Paris Gare de Lyon
2021-01-20,electronique,Paris Gare de Lyon
2021-01-21,papiers,Paris Gare de Lyon
2021-01-21,livres,Paris Gare de Lyon
2021-01-21,vetements,Paris Gare de Lyon
2021-01-21,bagages,Paris Gare de Lyon
2021-01-21,bagages,Paris Gare de Lyon
2021-01-21,electronique,Paris Gare de Lyon
2021-01-21,clé,Paris Gare de Lyon
2021-01-21,electronique,Paris Gare de Lyon
2021-01-21,optique,Paris Gare de Lyon
2021-01-21,clé,Paris Gare de Lyon
2021-01-21,médical,Paris Gare de Lyon
2021-01-21,bagages,Paris Gare de Lyon
2021-01-21,electronique,Paris Gare de Lyon
2021-01-22,clé,Paris Gare de Lyon
2021-01-22,electronique,Paris Gare de Lyon
2021-01-22,velo/trottinette,Paris Gare de Lyon
2021-01-22,bagages,Paris Gare de Lyon
2021-01-22,clé,Paris Gare de Lyon
2021-01-22,papiers,Paris Gare de Lyon
2021-01-22,electronique,Paris Gare de Lyon
2021-01-22,bagages,Paris Gare de Lyon
2021-01-22,bagages,Paris Gare de Lyon
2021-01-22,bagages,Paris Gare de Lyon
