#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-10-01,20,11,27,12,17,16,3.5,92,7.75,1017,74,20,13,10,296,353,176,0,5,7.3,météo défavorable,18:30:00,06:50:00,11
2022-10-02,24,16,25,16,18,22,0.1,84,10,1020,71.375,25,14,16,122,176,113,0,4,8.7,météo défavorable,18:27:00,06:51:00,16
2022-10-03,23,13,6,13,20,21,0,94,8,1024,61,25,13,14,119,113,122,0,4,10.2,météo correcte,18:25:00,06:53:00,13
2022-10-04,23,14,10,14,21,21,0,85,10,1021,38,25,12,14,113,113,122,0,5,10.2,météo favorable,18:23:00,06:54:00,14
2022-10-05,27,14,23,14,25,22,0,70,10,1025,35.125,27,11,14,116,113,116,0,6,11.6,météo favorable,18:21:00,06:56:00,15
2022-10-06,22,12,6,12,21,20,0,70,10,1032,1.25,24,9,12,113,113,113,0,5,11.6,météo favorable,18:19:00,06:57:00,13
2022-10-07,23,11,7,11,21,19,0,64,10,1029,6.125,24,7,11,113,113,113,0,5,11.6,météo favorable,18:17:00,06:59:00,12
2022-10-08,22,13,9,13,18,20,0,83,10,1025,16.75,24,10,12,122,113,113,0,5,11.2,météo favorable,18:15:00,07:00:00,13
2022-10-09,22,9,12,9,17,21,0,66,10,1026,4.75,24,6,8,113,113,113,0,5,11.1,météo favorable,18:13:00,07:02:00,11
2022-10-10,23,12,7,12,20,20,0,65,10,1024,30.875,24,10,12,113,116,113,0,4,11.1,météo favorable,18:11:00,07:03:00,13
2022-10-11,22,12,13,12,18,19,0,66,10,1025,18.375,24,8,10,113,113,113,0,4,11,météo favorable,18:09:00,07:05:00,13
2022-10-12,18,9,5,9,16,17,0,61,10,1025,28.375,18,2,9,113,116,113,0,4,11,météo favorable,18:07:00,07:06:00,10
2022-10-13,16,12,12,12,16,13,0.1,72,10,1023,73.875,16,10,12,116,116,176,0,3,5.5,météo défavorable,18:05:00,07:08:00,13
2022-10-14,19,14,12,14,17,18,0.5,92,9,1017,93,19,14,13,176,176,119,0,4,5.5,météo défavorable,18:03:00,07:09:00,14
2022-10-15,20,15,23,16,20,17,0.2,88,10,1013,74.25,20,14,16,176,176,122,0,4,8.5,météo défavorable,18:01:00,07:11:00,15
2022-10-16,20,13,11,13,16,18,4.7,92,7.5,1014,69.5,20,15,12,266,296,116,0,5,3.9,météo défavorable,17:59:00,07:12:00,14
2022-10-17,22,16,15,16,22,19,0.2,84,10,1022,75.375,25,16,16,116,119,176,0,4,5.5,météo défavorable,17:57:00,07:14:00,17
2022-10-18,20,15,10,15,18,18,1.5,92,9.875,1027,79.875,20,14,15,176,119,119,0,4,5.5,météo défavorable,17:55:00,07:16:00,15
2022-10-19,24,15,17,15,21,22,0,90,10,1023,20.125,25,15,15,113,116,113,0,5,8.7,météo favorable,17:54:00,07:17:00,16
2022-10-20,22,17,18,17,20,20,3.6,84,9.625,1013,46.75,25,15,17,353,116,176,0,4,7.1,météo favorable,17:52:00,07:19:00,17
2022-10-21,23,16,21,16,20,20,1.5,85,9.75,1012,53.125,24,14,16,200,113,116,0,4,8.7,météo favorable,17:50:00,07:20:00,16
2022-10-22,22,15,15,15,20,20,0,76,10,1017,36.375,24,11,14,116,113,116,0,5,8.7,météo favorable,17:48:00,07:22:00,16
2022-10-23,25,16,21,17,21,21,0.2,61,9.5,1012,54.75,25,12,17,119,200,200,0,6,7.1,météo correcte,17:46:00,07:23:00,17
2022-10-24,22,16,24,16,20,19,0,68,10,1014,23.5,24,11,16,116,113,113,0,5,8.7,météo favorable,17:44:00,07:25:00,17
2022-10-25,21,14,15,15,19,19,0,75,10,1017,49.625,21,11,14,122,113,116,0,5,8.7,météo favorable,17:43:00,07:27:00,14
2022-10-26,22,16,17,17,20,21,0,76,10,1020,15.375,24,12,16,116,113,113,0,5,8.7,météo favorable,17:41:00,07:28:00,17
2022-10-27,24,16,13,17,22,22,0,73,10,1020,42.375,25,13,17,116,113,116,0,6,8.7,météo favorable,17:39:00,07:30:00,16
2022-10-28,25,19,14,19,22,22,0,57,10,1021,15,25,12,19,113,113,113,0,6,8.7,météo idéale,17:37:00,07:31:00,19
2022-10-29,24,18,12,18,22,22,0,63,10,1021,41.875,25,11,18,116,116,116,0,6,8.7,météo favorable,17:36:00,07:33:00,18
2022-10-30,21,16,10,17,20,19,0,67,10,1020,41.375,21,11,17,113,116,119,0,5,8.7,météo favorable,17:34:00,07:34:00,18
2022-10-31,19,15,9,15,17,18,0.7,82,9,1020,64,19,13,15,176,353,116,0,5,3.7,météo correcte,17:32:00,07:36:00,16
