#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-11-01,18,14,29,15,17,17,0.5,71,9.875,1020,70.625,18,13,13,176,113,116,0,4,7,météo défavorable,17:31:00,07:38:00,17
2022-11-02,16,11,19,11,15,15,0.2,78,9.875,1025,32.625,16,9,9,113,113,122,0,3,8.7,météo correcte,17:29:00,07:39:00,12
2022-11-03,16,12,19,13,16,14,0.6,77,10,1018,71.875,16,9,11,116,119,353,0,4,3.7,météo défavorable,17:27:00,07:41:00,13
2022-11-04,12,9,20,9,12,11,2.9,87,8.75,1016,71.125,12,7,7,266,353,176,0,3,3.7,météo défavorable,17:26:00,07:42:00,10
2022-11-05,14,8,13,8,12,13,0,82,10,1022,40.25,14,6,8,116,119,119,0,4,7,météo correcte,17:24:00,07:44:00,9
2022-11-06,14,9,22,9,11,14,0.5,81,8,1019,57.625,14,10,6,113,176,266,0,4,5.3,météo correcte,17:23:00,07:46:00,9
2022-11-07,16,11,21,11,15,14,0,88,10,1015,82.125,16,10,9,122,116,116,0,3,5.3,météo défavorable,17:21:00,07:47:00,11
2022-11-08,17,12,23,12,16,15,0,66,10,1011,58.25,17,10,10,116,122,122,0,4,7,météo correcte,17:20:00,07:49:00,13
2022-11-09,16,12,19,13,15,15,0,80,10,1020,38.75,16,9,11,122,116,113,0,4,8.7,météo correcte,17:18:00,07:50:00,13
2022-11-10,17,10,12,10,16,14,0,86,10,1029,24.375,17,9,9,113,113,119,0,4,8.7,météo correcte,17:17:00,07:52:00,10
2022-11-11,19,9,10,9,14,16,0,83,10,1031,21.75,19,9,9,116,113,113,0,4,8.7,météo favorable,17:16:00,07:53:00,10
2022-11-12,19,11,6,11,18,16,0,83,10,1031,39.75,19,11,10,113,113,116,0,3,8.7,météo favorable,17:14:00,07:55:00,11
2022-11-13,17,11,6,11,16,14,0,65,10,1025,32,17,8,10,116,113,116,0,3,8.7,météo correcte,17:13:00,07:56:00,11
2022-11-14,15,10,17,10,15,13,0.3,83,9.875,1016,38.375,15,10,10,113,116,176,0,4,7,météo correcte,17:12:00,07:58:00,10
2022-11-15,14,9,19,9,12,14,1.1,87,9,1013,67.25,14,12,8,113,122,353,0,4,5.3,météo défavorable,17:11:00,07:59:00,10
2022-11-16,12,10,21,10,12,12,1.8,85,8.875,1005,94.125,12,10,7,122,176,266,0,3,3.4,météo défavorable,17:09:00,08:01:00,10
2022-11-17,14,11,27,13,14,12,1.4,70,9.875,1004,64,14,10,10,353,176,116,0,3,6.9,météo correcte,17:08:00,08:03:00,13
2022-11-18,13,8,12,9,11,11,0.1,87,10,1012,39.375,13,7,7,113,116,176,0,4,8.7,météo correcte,17:07:00,08:04:00,9
2022-11-19,11,7,9,7,10,10,0.2,82,10,1016,29.375,11,5,5,113,113,113,0,2,8.7,météo défavorable,17:06:00,08:05:00,8
2022-11-20,9,6,20,6,6,8,0.5,84,9,1014,56.625,9,6,3,113,266,176,0,3,5.1,météo défavorable,17:05:00,08:07:00,6
2022-11-21,9,7,18,7,8,8,0.9,87,9.875,1016,87.75,9,6,4,116,122,296,0,2,3.4,météo défavorable,17:04:00,08:08:00,8
2022-11-22,11,6,19,6,10,9,0.3,81,9.875,1005,34,11,4,2,113,176,119,0,3,5.1,météo défavorable,17:03:00,08:10:00,7
2022-11-23,11,7,21,7,9,10,0.3,88,9,1012,50.5,11,7,4,116,266,113,0,2,6.9,météo défavorable,17:02:00,08:11:00,8
2022-11-24,11,7,15,8,10,10,0,90,10,1015,56.5,11,7,5,116,122,116,0,3,6.9,météo défavorable,17:01:00,08:13:00,9
2022-11-25,11,7,14,8,10,10,0.6,89,9,1024,44.375,11,7,5,116,113,116,0,2,6.9,météo défavorable,17:00:00,08:14:00,9
2022-11-26,11,7,10,7,9,9,0,92,10,1031,45.375,11,6,6,116,116,116,0,3,6.9,météo défavorable,17:00:00,08:16:00,7
2022-11-27,11,8,15,9,11,11,0,63,10,1025,73.375,11,5,7,122,116,119,0,3,6.9,météo défavorable,16:59:00,08:17:00,9
2022-11-28,11,8,15,9,11,10,0.9,84,9.375,1016,67.625,11,6,6,263,116,116,0,2,6.9,météo défavorable,16:58:00,08:18:00,8
2022-11-29,12,7,7,8,11,10,0,83,10,1020,40.75,12,6,6,116,113,113,0,2,8.4,météo défavorable,16:58:00,08:20:00,8
2022-11-30,10,5,8,5,8,8,0,91,10,1022,19.625,10,5,4,113,113,113,0,3,8.4,météo très défavorable,16:57:00,08:21:00,6
