#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-08-01,30,19,10,19,28,29,0,78,9.875,1019,22.375,30,15,19,113,116,116,0,7,14.5,météo favorable,21:30:00,06:24:00,19
2022-08-02,36,19,9,19,32,34,0,55,10,1018,11.25,36,14,19,113,113,113,0,7,14.5,météo favorable,21:28:00,06:25:00,20
2022-08-03,39,20,6,20,37,38,0,65,10,1016,7.125,39,14,20,113,113,113,0,8,14.5,météo favorable,21:27:00,06:26:00,21
2022-08-04,34,21,14,21,32,33,0,65,10,1014,23.375,33,14,21,116,116,113,0,7,14.5,météo favorable,21:25:00,06:28:00,22
2022-08-05,30,17,15,17,29,28,0.5,76,9.875,1022,26.875,28,13,17,176,113,113,0,5,14.5,météo idéale,21:23:00,06:29:00,18
2022-08-06,28,14,19,14,25,27,0,50,10,1025,2.25,26,5,13,113,113,113,0,6,14.5,météo favorable,21:22:00,06:30:00,15
2022-08-07,30,14,17,14,27,29,0,59,10,1024,0.5,27,6,13,113,113,113,0,6,14.5,météo favorable,21:20:00,06:32:00,16
2022-08-08,31,15,16,15,29,31,0,59,10,1023,0.75,29,7,15,113,113,113,0,7,14.5,météo idéale,21:19:00,06:33:00,17
2022-08-09,33,17,16,17,31,32,0,65,10,1024,2.625,31,10,17,113,113,113,0,7,14.5,météo idéale,21:17:00,06:34:00,18
2022-08-10,35,19,14,19,35,34,0,52,10,1023,5,34,9,19,113,113,113,0,7,14.5,météo idéale,21:15:00,06:36:00,21
2022-08-11,35,21,21,21,35,34,0,34,10,1018,1.125,33,6,21,113,113,113,0,8,14.5,météo idéale,21:13:00,06:37:00,23
2022-08-12,36,21,18,21,34,35,0,32,10,1016,0.25,35,5,21,113,113,113,0,8,14.5,météo favorable,21:12:00,06:39:00,23
2022-08-13,38,21,10,21,35,36,0,32,10,1015,1.375,36,7,21,113,113,113,0,8,14.5,météo favorable,21:10:00,06:40:00,23
2022-08-14,34,22,11,22,33,30,1.1,34,10,1011,33.5,32,16,22,113,113,176,0,7,12.4,météo favorable,21:08:00,06:42:00,23
2022-08-15,28,19,19,21,23,28,0,72,10,1005,52.375,27,14,19,119,116,116,0,6,13.4,météo favorable,21:06:00,06:43:00,21
2022-08-16,28,19,14,19,25,24,0.3,70,9.875,1008,47.375,28,15,19,116,116,116,0,5,14.5,météo favorable,21:04:00,06:44:00,20
2022-08-17,31,18,10,18,28,25,0.8,79,9.5,1013,48.125,30,16,18,200,176,386,0,6,11.3,météo favorable,21:03:00,06:46:00,19
2022-08-18,30,18,10,18,30,29,0.2,77,10,1015,24.25,30,16,18,113,113,113,0,6,14.5,météo idéale,21:01:00,06:47:00,19
2022-08-19,27,18,14,18,27,25,0.4,78,9.875,1018,47,27,17,18,113,119,176,0,6,8.2,météo correcte,20:59:00,06:49:00,19
2022-08-20,26,15,11,15,25,25,2.1,84,10,1020,22.375,26,17,15,113,113,116,0,5,11.6,météo idéale,20:57:00,06:50:00,17
2022-08-21,30,16,3,16,25,27,0,69,10,1019,11,29,12,16,113,113,116,0,6,11.6,météo idéale,20:55:00,06:51:00,17
2022-08-22,27,19,10,19,24,27,0,57,10,1015,50.75,26,13,19,116,116,116,0,5,11.6,météo favorable,20:53:00,06:53:00,19
2022-08-23,31,19,4,19,31,29,0,81,10,1016,32.875,31,17,19,113,113,116,0,6,11.6,météo favorable,20:51:00,06:54:00,20
2022-08-24,37,21,5,21,33,34,0,57,10,1016,15.75,36,13,21,113,113,113,0,8,11.6,météo favorable,20:49:00,06:56:00,22
2022-08-25,34,22,13,23,34,26,0,39,10,1016,24.75,33,16,23,113,113,116,0,7,11.6,météo idéale,20:47:00,06:57:00,24
2022-08-26,28,18,14,18,27,25,0.1,80,10,1017,42.375,28,15,18,116,116,116,0,5,10.4,météo favorable,20:45:00,06:59:00,20
2022-08-27,30,16,12,16,25,28,0,78,10,1017,9,28,14,16,113,113,113,0,6,11.6,météo idéale,20:43:00,07:00:00,18
2022-08-28,31,15,13,15,28,27,0,71,10,1017,6.75,29,11,15,113,113,113,0,6,11.6,météo idéale,20:41:00,07:02:00,17
2022-08-29,29,16,17,16,26,27,0,56,10,1017,11.625,28,9,16,113,113,113,0,6,11.6,météo idéale,20:39:00,07:03:00,17
2022-08-30,31,16,14,16,26,28,0,58,10,1017,5.375,30,11,16,113,113,113,0,6,11.6,météo idéale,20:37:00,07:04:00,17
2022-08-31,30,16,6,16,28,29,0,76,10,1020,12.5,29,13,16,113,113,113,0,6,11.6,météo idéale,20:35:00,07:06:00,16
