#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-04-01,12,9,29,10,10,11,2,87,8.875,1009,97.125,12,8,6,176,296,353,0,3,6.5,météo défavorable,20:21:00,07:29:00,10
2023-04-02,15,6,18,9,9,14,0,85,10,1030,50.375,15,6,5,122,113,113,0,2,10.3,météo correcte,20:22:00,07:27:00,9
2023-04-03,15,3,18,3,10,12,0,79,10,1030,12.625,15,1,-1,113,113,113,0,3,11.6,météo correcte,20:24:00,07:25:00,4
2023-04-04,14,2,18,2,11,11,0,60,10,1028,25.625,14,0,-2,113,113,116,0,3,11.6,météo correcte,20:25:00,07:23:00,3
2023-04-05,15,3,10,3,13,15,0,64,10,1026,10,15,0,1,116,113,113,0,3,11.6,météo correcte,20:27:00,07:21:00,4
2023-04-06,10,7,13,8,9,10,0.7,80,7.375,1020,82.625,10,8,7,122,176,266,0,3,6.5,météo défavorable,20:28:00,07:19:00,8
2023-04-07,12,5,17,5,11,10,0.1,88,10,1023,41.875,12,4,3,113,119,176,0,3,7.8,météo très défavorable,20:30:00,07:17:00,6
2023-04-08,16,4,11,4,13,14,0.1,91,10,1025,31.5,16,4,3,113,116,116,0,2,11.6,météo correcte,20:31:00,07:15:00,5
2023-04-09,17,6,10,6,15,17,0,82,10,1023,36.625,17,5,5,116,113,113,0,4,9.1,météo correcte,20:33:00,07:13:00,7
2023-04-10,15,10,17,10,14,15,0,72,10,1020,90.5,15,11,9,122,122,122,0,3,6.6,météo défavorable,20:34:00,07:11:00,10
2023-04-11,14,7,20,7,12,11,0.2,86,10,1020,85.875,14,6,5,119,122,176,0,3,6.6,météo défavorable,20:36:00,07:09:00,8
2023-04-12,11,7,25,10,8,11,2.6,95,9.75,1008,77.625,11,9,5,296,353,176,0,2,7.9,météo défavorable,20:37:00,07:07:00,10
2023-04-13,12,7,18,7,11,12,0.5,73,9.75,1013,82.875,12,4,4,122,176,176,0,2,9.1,météo défavorable,20:39:00,07:05:00,7
2023-04-14,13,5,15,5,12,12,0.1,88,10,1014,65.375,13,5,4,122,122,122,0,3,7.9,météo très défavorable,20:40:00,07:03:00,5
2023-04-15,14,8,9,8,11,12,0.5,91,9,1024,84.25,14,9,8,122,122,353,0,2,6.7,météo défavorable,20:42:00,07:01:00,8
2023-04-16,15,5,9,5,14,14,0,83,10,1026,37.625,15,5,4,113,113,119,0,4,9.3,météo correcte,20:43:00,06:59:00,5
2023-04-17,14,6,20,6,13,14,0.1,94,10,1025,70.625,14,7,4,119,116,119,0,3,8.1,météo défavorable,20:45:00,06:57:00,8
2023-04-18,14,6,18,6,14,12,0,84,10,1024,68.25,14,7,3,113,122,122,0,4,8.1,météo défavorable,20:46:00,06:55:00,7
2023-04-19,15,7,19,7,15,14,0,86,10,1021,83.75,15,7,5,122,119,119,0,3,7,météo défavorable,20:48:00,06:53:00,9
2023-04-20,11,5,18,5,11,9,0,72,10,1018,57,11,2,2,113,119,122,0,2,8.1,météo très défavorable,20:49:00,06:51:00,7
2023-04-21,14,7,7,7,13,13,1.4,86,8.875,1013,63,14,7,6,266,116,176,0,2,9.3,météo correcte,20:51:00,06:49:00,7
2023-04-22,12,7,26,7,12,11,2.2,96,8.875,1010,89,12,11,6,122,296,176,0,2,7,météo défavorable,20:52:00,06:47:00,7
2023-04-23,12,9,16,10,11,10,3.7,93,7.625,1010,83.625,12,10,8,122,266,302,0,3,7,météo défavorable,20:54:00,06:45:00,11
2023-04-24,12,8,17,9,11,12,0.7,94,9,1015,94.5,12,8,6,353,353,122,0,2,7.1,météo défavorable,20:55:00,06:43:00,8
2023-04-25,10,6,13,6,7,10,0.2,94,9,1018,80,10,6,5,143,122,122,0,2,7.1,météo défavorable,20:57:00,06:41:00,6
2023-04-26,13,6,12,6,12,13,0,71,10,1018,87.125,13,4,4,122,122,122,0,2,7.1,météo défavorable,20:58:00,06:39:00,6
2023-04-27,18,9,15,9,18,15,0.1,86,10,1017,70.875,18,12,8,119,119,176,0,3,10.2,météo défavorable,21:00:00,06:38:00,9
2023-04-28,18,13,15,14,17,18,1.3,94,8,1018,75.375,18,13,13,353,119,116,0,4,11.3,météo défavorable,21:01:00,06:36:00,14
2023-04-29,17,10,8,10,16,17,0.2,90,10,1018,50.25,17,12,10,116,122,176,0,4,11.3,météo correcte,21:03:00,06:34:00,11
2023-04-30,19,8,12,8,17,17,0,83,10,1022,28.125,19,7,8,113,116,116,0,4,13.4,météo favorable,21:04:00,06:32:00,9
