#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-05-01,18,11,11,11,18,18,0,74,10,1022,68.125,18,10,11,116,122,116,0,3,12.4,météo défavorable,21:06:00,06:31:00,11
2023-05-02,14,9,12,9,13,14,0,90,10,1027,52.5,14,9,8,113,119,122,0,4,10.3,météo correcte,21:07:00,06:29:00,9
2023-05-03,21,5,19,5,17,20,0,78,10,1027,2.75,21,8,3,113,113,113,0,4,14.5,météo favorable,21:09:00,06:27:00,6
2023-05-04,22,9,15,9,21,22,0,77,10,1019,25.25,25,13,8,113,116,116,0,5,13.5,météo favorable,21:10:00,06:26:00,10
2023-05-05,21,11,17,11,19,20,0.2,90,10,1019,45.625,24,12,10,116,113,116,0,4,13.5,météo favorable,21:12:00,06:24:00,12
2023-05-06,22,11,9,11,20,22,0.1,95,8,1018,68.5,24,14,10,143,122,119,0,4,10.4,météo défavorable,21:13:00,06:22:00,11
2023-05-07,20,13,15,14,19,19,0.3,95,9,1022,62,20,13,14,143,119,116,0,4,12.4,météo correcte,21:14:00,06:21:00,13
2023-05-08,21,10,12,10,21,20,0,88,10,1023,31.375,24,13,9,113,113,122,0,5,13.5,météo favorable,21:16:00,06:19:00,10
2023-05-09,15,12,13,12,14,14,2.2,97,6.125,1019,96.875,15,13,11,266,266,353,0,3,9.4,météo défavorable,21:17:00,06:18:00,13
2023-05-10,15,9,19,10,15,14,0.5,77,9.875,1017,87.875,15,11,7,122,122,176,0,3,10.4,météo défavorable,21:19:00,06:16:00,9
2023-05-11,17,8,11,8,16,17,0,92,10,1017,53.125,17,8,7,116,119,116,0,4,11.4,météo correcte,21:20:00,06:15:00,8
2023-05-12,15,8,17,8,15,13,0.6,87,10,1019,60.5,15,11,7,113,176,353,0,4,10.4,météo correcte,21:22:00,06:13:00,9
2023-05-13,19,9,17,9,19,17,1.1,95,6.875,1020,52.125,19,14,8,143,116,176,0,3,12.5,météo favorable,21:23:00,06:12:00,10
2023-05-14,20,9,17,9,19,19,0.2,92,10,1020,38.25,20,11,8,113,176,116,0,3,13.5,météo favorable,21:24:00,06:11:00,10
2023-05-15,14,8,17,10,14,12,1,89,10,1019,64.625,14,11,8,116,353,353,0,4,10.5,météo correcte,21:26:00,06:09:00,10
2023-05-16,17,5,23,5,15,14,0,85,10,1024,22.625,17,6,2,113,113,116,0,4,13.5,météo correcte,21:27:00,06:08:00,6
2023-05-17,16,6,18,6,16,15,0,87,10,1027,26,16,7,5,113,119,113,0,4,12.5,météo correcte,21:28:00,06:07:00,7
2023-05-18,18,7,18,8,16,17,0,75,10,1027,46.25,18,7,6,122,116,116,0,4,13.5,météo favorable,21:30:00,06:05:00,8
2023-05-19,19,7,21,7,18,18,0,80,10,1025,47,19,8,5,116,119,116,0,4,13.5,météo correcte,21:31:00,06:04:00,8
2023-05-20,18,10,20,10,18,17,0.1,81,10,1022,51.375,18,10,8,116,116,176,0,4,12.5,météo favorable,21:32:00,06:03:00,11
2023-05-21,19,10,17,11,16,19,0,90,10,1017,74.375,19,15,9,116,122,119,0,4,9.6,météo défavorable,21:33:00,06:02:00,11
2023-05-22,21,12,17,12,21,19,0,89,10,1019,68.5,24,14,12,116,116,122,0,4,11.6,météo défavorable,21:35:00,06:01:00,12
2023-05-23,20,10,22,12,20,18,0,85,10,1024,59.75,20,12,11,122,113,113,0,4,15.4,météo correcte,21:36:00,06:00:00,13
2023-05-24,18,7,18,8,17,16,0,79,10,1025,29.375,18,8,5,113,116,116,0,4,15.8,météo favorable,21:37:00,05:59:00,8
2023-05-25,23,10,21,10,22,23,0,84,10,1027,13.75,25,13,8,113,113,113,0,5,15.8,météo favorable,21:38:00,05:58:00,10
2023-05-26,24,9,19,10,21,23,0,84,10,1027,8,25,12,8,113,113,113,0,5,15.8,météo favorable,21:39:00,05:57:00,10
2023-05-27,23,10,17,10,20,22,0,78,10,1026,19.75,24,11,8,113,122,116,0,5,15.9,météo correcte,21:41:00,05:56:00,11
2023-05-28,27,11,18,11,23,25,0,81,10,1021,5.25,27,13,10,113,113,113,0,5,15.9,météo favorable,21:42:00,05:55:00,12
2023-05-29,23,12,23,12,22,21,0,84,10,1023,24,25,12,10,116,113,116,0,5,15.9,météo favorable,21:43:00,05:54:00,13
2023-05-30,23,10,24,10,22,22,0,72,10,1024,14.375,25,12,8,113,113,116,0,5,15.9,météo favorable,21:44:00,05:54:00,11
2023-05-31,27,10,22,11,26,26,0,87,10,1023,14.125,27,13,9,116,113,113,0,5,15.9,météo favorable,21:45:00,05:53:00,11
