#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-02-01,9,6,26,7,8,8,0.8,81,9.875,1027,92.375,9,6,3,176,176,353,0,2,3.5,météo défavorable,17:48:00,08:21:00,7
2023-02-02,11,5,17,5,8,9,0,90,10,1032,63.625,11,7,2,116,119,122,0,3,3.5,météo très défavorable,17:49:00,08:20:00,6
2023-02-03,12,7,16,8,11,11,0,79,10,1036,44,12,6,5,119,113,113,0,2,8.7,météo défavorable,17:51:00,08:18:00,8
2023-02-04,13,5,11,5,10,9,0,89,10,1040,49.625,13,4,3,116,119,116,0,3,5.2,météo correcte,17:53:00,08:17:00,5
2023-02-05,11,5,21,6,8,7,0,86,10,1042,42.75,11,4,5,119,122,113,0,3,5.2,météo défavorable,17:54:00,08:15:00,5
2023-02-06,7,2,16,3,5,5,0,85,10,1042,34.75,7,1,-2,116,113,116,0,2,8.7,météo très défavorable,17:56:00,08:14:00,3
2023-02-07,7,1,17,2,4,7,0,79,10,1037,25.125,7,0,-3,116,113,113,0,1,8.7,météo très défavorable,17:58:00,08:12:00,4
2023-02-08,10,0,20,0,5,7,0,55,10,1037,3.125,10,0,-4,113,113,113,0,2,8.7,météo très défavorable,17:59:00,08:11:00,1
2023-02-09,7,-1,5,-1,4,7,0,58,10,1036,11.875,7,0,-1,113,119,113,0,2,9.9,météo très défavorable,18:01:00,08:09:00,0
2023-02-10,10,3,8,4,7,8,0,57,10,1040,57.75,10,2,3,122,116,122,0,2,9.9,météo très défavorable,18:03:00,08:08:00,3
2023-02-11,9,3,4,3,7,8,0,93,10,1039,49.625,9,4,3,113,119,119,0,3,6.6,météo très défavorable,18:04:00,08:06:00,4
2023-02-12,13,3,13,3,10,13,0,93,10,1038,12.125,13,8,2,113,113,113,0,3,10,météo correcte,18:06:00,08:04:00,4
2023-02-13,14,4,8,4,11,12,0,90,10,1034,2.125,14,4,3,113,113,113,0,3,10,météo correcte,18:07:00,08:03:00,5
2023-02-14,15,5,5,5,12,13,0,77,10,1033,0,15,4,4,113,113,113,0,3,10.1,météo correcte,18:09:00,08:01:00,5
2023-02-15,13,5,11,5,10,13,0,74,10,1028,31.625,13,5,4,116,113,113,0,3,10,météo correcte,18:11:00,07:59:00,6
2023-02-16,13,6,17,7,11,11,0,91,10,1028,69.25,13,6,5,116,122,122,0,3,5.3,météo défavorable,18:12:00,07:58:00,6
2023-02-17,14,10,15,10,12,14,0,96,10,1029,90.25,14,11,8,122,122,119,0,3,5.3,météo défavorable,18:14:00,07:56:00,10
2023-02-18,12,9,15,11,11,12,0,83,10,1029,74.125,12,8,9,122,122,116,0,4,6.9,météo défavorable,18:16:00,07:54:00,9
2023-02-19,13,9,16,11,12,13,0,72,10,1030,68.125,13,7,8,122,119,113,0,3,6.9,météo défavorable,18:17:00,07:52:00,11
2023-02-20,15,6,6,6,12,15,0,89,10,1030,8.375,15,5,5,113,113,113,0,4,10.7,météo correcte,18:19:00,07:51:00,7
2023-02-21,16,6,5,6,13,13,0,71,10,1024,31.625,16,4,6,113,113,122,0,4,10,météo correcte,18:20:00,07:49:00,7
2023-02-22,12,9,13,9,12,10,0.3,90,9,1015,100,12,9,8,266,122,176,0,3,5.4,météo défavorable,18:22:00,07:47:00,9
2023-02-23,10,7,18,7,8,9,0.3,89,10,1018,96.625,10,7,5,176,122,122,0,2,5.4,météo défavorable,18:24:00,07:45:00,8
2023-02-24,10,3,13,4,8,9,0,78,10,1018,28.75,10,4,0,113,113,113,0,3,10.8,météo très défavorable,18:25:00,07:43:00,6
2023-02-25,9,3,19,3,7,8,0,75,10,1015,61.75,9,3,1,113,122,119,0,3,5.4,météo très défavorable,18:27:00,07:41:00,4
2023-02-26,7,1,27,1,6,7,0,58,10,1023,8.125,7,0,-4,113,113,113,0,2,10.9,météo très défavorable,18:28:00,07:39:00,2
2023-02-27,9,-1,24,-1,7,8,0,63,10,1027,0,9,0,-6,113,113,113,0,2,10.9,météo très défavorable,18:30:00,07:37:00,0
2023-02-28,10,-1,20,-1,5,7,0,65,10,1027,6.75,10,0,-5,113,113,113,0,2,11,météo très défavorable,18:32:00,07:36:00,0
