#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-10-01,18,11,18,11,17,15,0.2,49,9,1024,46.125,18,11,9,116,116,266,0,4,8.7,météo favorable,18:29:00,06:50:00,11
2021-10-02,17,12,24,12,16,17,2.4,89,9.75,1016,95.375,17,14,13,122,119,296,0,3,5.9,météo défavorable,18:27:00,06:52:00,13
2021-10-03,17,12,34,17,14,15,3.8,84,8,1012,71.375,17,14,11,296,263,116,0,3,8.7,météo défavorable,18:25:00,06:53:00,17
2021-10-04,19,12,16,12,17,18,0,76,10,1018,23.625,19,7,10,116,116,116,0,5,11.6,météo favorable,18:23:00,06:55:00,12
2021-10-05,17,12,23,12,14,14,0.8,87,8.875,1013,57.875,17,12,10,116,266,176,0,4,5.8,météo correcte,18:21:00,06:56:00,12
2021-10-06,19,10,21,10,16,16,0,84,10,1026,41.125,19,8,8,119,116,113,0,3,10.2,météo favorable,18:19:00,06:58:00,11
2021-10-07,18,9,10,9,16,16,0,83,10,1027,22.125,18,9,9,116,116,119,0,4,10.1,météo favorable,18:17:00,06:59:00,10
2021-10-08,19,10,13,10,17,17,0,81,10,1029,4,19,8,9,113,116,116,0,4,11.1,météo favorable,18:15:00,07:01:00,11
2021-10-09,21,11,15,11,19,19,0,84,10,1027,0,21,10,10,113,113,113,0,5,11.1,météo favorable,18:13:00,07:02:00,12
2021-10-10,18,10,9,10,17,17,0,67,10,1026,7.375,18,7,9,113,116,116,0,4,11.1,météo favorable,18:11:00,07:04:00,11
2021-10-11,18,10,13,10,16,16,0,83,10,1028,27.875,18,9,9,116,116,116,0,4,10.1,météo favorable,18:09:00,07:05:00,11
2021-10-12,15,9,15,9,14,13,0.1,78,10,1028,46.25,15,8,8,116,122,176,0,4,7,météo correcte,18:07:00,07:07:00,10
2021-10-13,15,10,10,10,13,14,0,83,10,1029,52.375,15,9,9,116,122,116,0,3,10.1,météo correcte,18:05:00,07:08:00,11
2021-10-14,18,9,3,9,16,17,0,68,10,1028,9.125,18,6,9,113,113,113,0,4,10.9,météo favorable,18:03:00,07:10:00,10
2021-10-15,16,10,6,10,14,15,0,64,10,1021,47.625,16,8,10,113,119,122,0,4,7,météo correcte,18:01:00,07:11:00,11
2021-10-16,19,10,8,10,17,17,0,77,10,1022,12.875,19,9,8,113,113,113,0,4,8.7,météo favorable,17:59:00,07:13:00,12
2021-10-17,17,9,6,9,15,16,0,71,10,1021,44.25,17,5,9,113,122,122,0,4,5.5,météo correcte,17:57:00,07:14:00,10
2021-10-18,19,11,10,11,17,18,0,70,10,1022,24.875,19,8,10,122,113,113,0,5,8.7,météo favorable,17:55:00,07:16:00,12
2021-10-19,24,15,15,15,21,21,1.6,93,8.875,1020,57,25,14,15,296,113,113,0,4,7.1,météo correcte,17:53:00,07:17:00,15
2021-10-20,22,17,28,18,21,21,0.7,68,9.875,1016,57.625,25,14,18,119,122,176,0,5,5.5,météo correcte,17:51:00,07:19:00,18
2021-10-21,16,9,29,12,16,10,0.9,78,9.75,1018,62.5,16,10,10,176,116,176,0,3,7.1,météo correcte,17:49:00,07:21:00,13
2021-10-22,12,6,13,6,12,12,0,60,10,1027,31.75,12,6,5,113,119,116,0,3,7.1,météo défavorable,17:48:00,07:22:00,7
2021-10-23,17,11,5,11,15,16,0,58,10,1027,32.375,17,5,11,116,113,113,0,3,8.7,météo correcte,17:46:00,07:24:00,11
2021-10-24,18,8,12,8,15,16,0,74,10,1025,4.125,18,4,6,113,113,113,0,4,8.7,météo favorable,17:44:00,07:25:00,9
2021-10-25,16,10,13,10,14,15,0,71,10,1022,79,16,9,9,119,119,122,0,3,3.8,météo défavorable,17:42:00,07:27:00,10
2021-10-26,17,10,9,10,15,15,0.1,89,9.875,1024,28.375,17,9,9,113,113,116,0,3,8.7,météo correcte,17:40:00,07:28:00,10
2021-10-27,19,11,12,11,17,18,0,79,10,1025,12.5,19,10,10,113,113,113,0,5,8.7,météo favorable,17:39:00,07:30:00,11
2021-10-28,20,10,17,10,17,18,0,78,10,1021,2,20,8,9,113,113,113,0,5,8.7,météo favorable,17:37:00,07:32:00,11
2021-10-29,17,12,23,12,17,14,0.6,72,9,1011,40,17,11,10,113,113,266,0,4,7.1,météo correcte,17:35:00,07:33:00,12
2021-10-30,14,10,17,10,13,14,0.6,92,9,1008,79.625,14,12,9,116,266,176,0,4,3.7,météo défavorable,17:34:00,07:35:00,10
2021-10-31,18,10,26,10,17,16,2.3,92,10,1009,66,18,15,9,116,116,353,0,4,7,météo défavorable,17:32:00,07:36:00,10
