#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-05-01,15,7,14,7,13,14,0,68,10,1014,28.125,15,4,6,116,116,116,0,4,14.5,météo correcte,20:06:00,05:30:00,8
2021-05-02,14,6,11,6,13,13,0.7,84,10,1022,45.125,14,6,5,116,116,116,0,3,14.5,météo correcte,20:08:00,05:29:00,6
2021-05-03,15,8,17,8,14,14,0.1,79,10,1023,36.625,15,5,8,116,116,116,0,3,14.5,météo correcte,20:09:00,05:27:00,8
2021-05-04,13,8,29,8,13,12,4.9,86,9,1011,82.75,13,7,4,296,293,176,0,4,11.4,météo défavorable,20:11:00,05:25:00,8
2021-05-05,12,7,21,7,12,12,1,74,9.875,1015,54.5,12,4,4,116,353,176,0,3,12.4,météo défavorable,20:12:00,05:24:00,8
2021-05-06,9,0,11,7,8,4,6,92,8.875,1013,86.875,9,7,5,116,176,296,0,2,10.4,météo défavorable,20:13:00,05:22:00,7
2021-05-07,14,7,8,7,12,13,0.5,84,10,1016,74.625,14,5,6,122,176,176,0,3,9.3,météo défavorable,20:15:00,05:20:00,7
2021-05-08,20,7,21,7,15,20,0.1,80,10,1018,39.375,20,12,5,116,176,116,0,4,12.4,météo favorable,20:16:00,05:19:00,8
2021-05-09,23,15,29,15,23,17,2.6,80,9.375,1006,60.125,23,13,14,176,176,176,0,5,10.4,météo correcte,20:18:00,05:17:00,15
2021-05-10,18,12,21,12,18,17,4.1,90,9.75,1009,84.625,18,12,10,296,119,176,0,4,9.4,météo défavorable,20:19:00,05:16:00,13
2021-05-11,15,11,16,11,15,13,0.9,84,9.625,1012,60.125,15,10,11,116,176,176,0,4,9.4,météo correcte,20:20:00,05:14:00,11
2021-05-12,17,9,11,9,16,17,0.1,82,10,1014,34.5,17,7,8,116,116,116,0,3,13.5,météo correcte,20:22:00,05:13:00,9
2021-05-13,15,9,13,9,14,14,6,94,9.5,1011,80.125,15,8,7,296,176,353,0,3,9.4,météo défavorable,20:23:00,05:12:00,11
2021-05-14,12,8,16,8,11,12,4,90,9.75,1010,61.875,12,9,7,116,122,353,0,3,10.5,météo défavorable,20:24:00,05:10:00,8
2021-05-15,15,9,19,9,12,14,3.7,91,8.875,1009,76,15,10,6,353,296,176,0,3,9.5,météo défavorable,20:26:00,05:09:00,9
2021-05-16,16,9,24,10,16,14,2.8,88,9.625,1007,80.25,16,9,7,176,176,176,0,3,9.5,météo défavorable,20:27:00,05:08:00,9
2021-05-17,14,10,22,10,12,13,7.3,86,9.5,1011,91.25,14,10,7,353,353,353,0,3,9.5,météo défavorable,20:28:00,05:06:00,10
2021-05-18,15,9,21,9,13,14,3,91,9.875,1021,96.125,15,9,6,353,353,353,0,3,9.5,météo défavorable,20:30:00,05:05:00,9
2021-05-19,12,9,17,9,11,11,4.6,95,7.625,1022,86.625,12,9,7,353,353,353,0,3,9.5,météo défavorable,20:31:00,05:04:00,9
2021-05-20,18,8,12,9,16,17,0.1,87,10,1026,35.375,18,7,7,116,116,116,0,3,14.5,météo favorable,20:32:00,05:03:00,8
2021-05-21,17,10,29,10,17,16,1.5,83,8,1015,66,17,7,8,266,176,176,0,4,11.5,météo défavorable,20:34:00,05:01:00,11
2021-05-22,13,10,26,10,13,13,5.6,74,9.875,1013,86,13,10,7,176,353,353,0,3,9.6,météo défavorable,20:35:00,05:00:00,10
2021-05-23,15,7,22,8,14,15,0.4,85,10,1016,63.25,15,8,6,116,176,176,0,3,10.8,météo correcte,20:36:00,04:59:00,7
2021-05-24,15,9,24,9,15,13,5,91,9.625,1013,72.75,15,8,6,296,176,353,0,4,9.9,météo défavorable,20:37:00,04:58:00,10
2021-05-25,13,7,26,8,13,12,4.3,84,9.625,1019,87.5,13,10,4,122,122,353,0,3,9.9,météo défavorable,20:38:00,04:57:00,7
2021-05-26,14,9,21,10,14,10,14.4,95,9.125,1018,98.25,14,9,7,296,353,296,0,3,9.9,météo défavorable,20:39:00,04:56:00,10
2021-05-27,21,11,4,14,21,20,0,67,10,1022,25.375,24,11,14,116,113,116,0,5,14.5,météo favorable,20:41:00,04:55:00,11
2021-05-28,19,12,13,12,19,18,0,83,10,1024,26.375,19,11,12,116,116,116,0,5,14.5,météo favorable,20:42:00,04:55:00,12
2021-05-29,21,12,15,13,20,20,0,74,10,1026,43.75,21,10,13,116,116,119,0,5,14.5,météo favorable,20:43:00,04:54:00,12
2021-05-30,21,12,18,13,20,20,0,73,10,1026,36.75,23,12,12,122,116,122,0,5,13.6,météo favorable,20:44:00,04:53:00,12
2021-05-31,21,13,19,15,20,21,0,75,10,1023,2.75,23,12,15,116,113,116,0,5,14.5,météo favorable,20:45:00,04:52:00,13
