date,type,gare,type_mapped
2021-01-20,"Articles de sport, loisirs, camping",Paris Gare de Lyon,sport/loisirs
2021-01-20,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-20,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-20,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-20,Optique,Paris Gare de Lyon,optique
2021-01-20,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-21,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-21,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-01-21,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-21,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-21,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-21,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-21,Optique,Paris Gare de Lyon,optique
2021-01-21,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-21,Articles médicaux,Paris Gare de Lyon,médical
2021-01-22,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-22,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-22,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-01-22,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-22,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-23,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-23,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-23,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-23,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-23,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-24,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-24,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-24,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-24,Optique,Paris Gare de Lyon,optique
2021-01-24,Articles médicaux,Paris Gare de Lyon,médical
2021-01-24,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-25,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-01-25,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-26,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-26,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-26,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-26,Optique,Paris Gare de Lyon,optique
2021-01-26,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-27,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-27,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-27,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-27,"Articles d enfants, de puériculture",Paris Gare de Lyon,articles enfants
2021-01-27,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-28,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-28,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-28,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-28,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-28,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-29,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-01-29,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-29,Optique,Paris Gare de Lyon,optique
2021-01-30,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-31,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-01-31,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-01-31,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-01-31,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-01-31,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-01-31,"Bijoux, montres",Paris Gare de Lyon,bijoux/montres
2021-02-01,Articles médicaux,Paris Gare de Lyon,médical
2021-02-01,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-01,Optique,Paris Gare de Lyon,optique
2021-02-01,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-01,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-01,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-02-02,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-02,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-02,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-03,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-03,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-03,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-03,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-02-04,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-04,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-04,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-04,Divers,Paris Gare de Lyon,divers
2021-02-05,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-05,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-05,Divers,Paris Gare de Lyon,divers
2021-02-05,"Bijoux, montres",Paris Gare de Lyon,bijoux/montres
2021-02-06,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-06,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-07,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-07,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-07,Divers,Paris Gare de Lyon,divers
2021-02-07,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-02-07,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-08,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-08,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-08,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-08,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-09,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-02-09,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-09,"Bijoux, montres",Paris Gare de Lyon,bijoux/montres
2021-02-09,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-09,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-09,Parapluies,Paris Gare de Lyon,parapluies
2021-02-09,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-09,Optique,Paris Gare de Lyon,optique
2021-02-10,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-10,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-10,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-11,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-11,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-11,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-11,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-12,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-12,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-12,Optique,Paris Gare de Lyon,optique
2021-02-13,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-13,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-13,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-13,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-13,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-14,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-14,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-14,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-15,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-15,"Articles de sport, loisirs, camping",Paris Gare de Lyon,sport/loisirs
2021-02-16,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-16,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-16,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-16,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-16,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-02-16,Optique,Paris Gare de Lyon,optique
2021-02-17,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-17,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-17,Optique,Paris Gare de Lyon,optique
2021-02-17,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-02-17,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-17,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-17,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-18,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-18,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-18,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-18,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-19,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-19,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-20,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-21,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-02-21,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-21,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-21,"Articles de sport, loisirs, camping",Paris Gare de Lyon,sport/loisirs
2021-02-21,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-21,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-21,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-02-22,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-22,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-23,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-23,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-02-23,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-23,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-23,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-02-23,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-02-23,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-23,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-24,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-24,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-24,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-02-24,"Articles de sport, loisirs, camping",Paris Gare de Lyon,sport/loisirs
2021-02-24,Optique,Paris Gare de Lyon,optique
2021-02-24,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-24,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-24,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-02-25,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-25,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-25,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-25,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-26,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-26,Parapluies,Paris Gare de Lyon,parapluies
2021-02-26,Optique,Paris Gare de Lyon,optique
2021-02-26,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-02-26,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-26,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-26,Articles médicaux,Paris Gare de Lyon,médical
2021-02-26,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-26,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-02-27,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-02-27,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-02-27,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-27,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-02-27,"Articles d enfants, de puériculture",Paris Gare de Lyon,articles enfants
