date,type,nom_gare,comptage_normalisé
2021-02-01,,Paris Gare de Lyon,0.04
2021-02-01,,Paris Gare de Lyon,0.04
2021-02-01,,Paris Gare de Lyon,0.04
2021-02-01,,Paris Gare de Lyon,0.04
2021-02-01,,Paris Gare de Lyon,0.04
2021-02-02,,Paris Gare de Lyon,0.04
2021-02-02,,Paris Gare de Lyon,0.04
2021-02-02,,Paris Gare de Lyon,0.04
2021-02-03,,Paris Gare de Lyon,0.04
2021-02-03,,Paris Gare de Lyon,0.04
2021-02-03,,Paris Gare de Lyon,0.04
2021-02-03,,Paris Gare de Lyon,0.04
2021-02-04,,Paris Gare de Lyon,0.04
2021-02-04,,Paris Gare de Lyon,0.04
2021-02-04,,Paris Gare de Lyon,0.04
2021-02-04,,Paris Gare de Lyon,0.04
2021-02-05,,Paris Gare de Lyon,0.04
2021-02-05,,Paris Gare de Lyon,0.04
2021-02-05,,Paris Gare de Lyon,0.04
2021-02-05,,Paris Gare de Lyon,0.04
2021-02-06,,Paris Gare de Lyon,0.04
2021-02-06,,Paris Gare de Lyon,0.04
2021-02-07,,Paris Gare de Lyon,0.04
2021-02-07,,Paris Gare de Lyon,0.04
2021-02-07,,Paris Gare de Lyon,0.04
2021-02-07,,Paris Gare de Lyon,0.04
2021-02-07,,Paris Gare de Lyon,0.04
2021-02-08,,Paris Gare de Lyon,0.04
2021-02-08,,Paris Gare de Lyon,0.04
2021-02-08,,Paris Gare de Lyon,0.04
2021-02-09,,Paris Gare de Lyon,0.04
2021-02-09,,Paris Gare de Lyon,0.04
2021-02-09,,Paris Gare de Lyon,0.04
2021-02-09,,Paris Gare de Lyon,0.04
2021-02-09,,Paris Gare de Lyon,0.04
2021-02-09,,Paris Gare de Lyon,0.04
2021-02-09,,Paris Gare de Lyon,0.04
2021-02-09,,Paris Gare de Lyon,0.04
2021-02-10,,Paris Gare de Lyon,0.04
2021-02-10,,Paris Gare de Lyon,0.04
2021-02-10,,Paris Gare de Lyon,0.04
2021-02-11,,Paris Gare de Lyon,0.04
2021-02-11,,Paris Gare de Lyon,0.04
2021-02-11,,Paris Gare de Lyon,0.04
2021-02-11,,Paris Gare de Lyon,0.04
2021-02-12,,Paris Gare de Lyon,0.04
2021-02-12,,Paris Gare de Lyon,0.04
2021-02-12,,Paris Gare de Lyon,0.04
2021-02-13,,Paris Gare de Lyon,0.04
2021-02-13,,Paris Gare de Lyon,0.04
2021-02-13,,Paris Gare de Lyon,0.04
2021-02-13,,Paris Gare de Lyon,0.04
2021-02-14,,Paris Gare de Lyon,0.04
2021-02-14,,Paris Gare de Lyon,0.04
2021-02-14,,Paris Gare de Lyon,0.04
2021-02-15,,Paris Gare de Lyon,0.04
2021-02-15,,Paris Gare de Lyon,0.04
2021-02-16,,Paris Gare de Lyon,0.04
2021-02-16,,Paris Gare de Lyon,0.04
2021-02-16,,Paris Gare de Lyon,0.04
2021-02-16,,Paris Gare de Lyon,0.04
2021-02-16,,Paris Gare de Lyon,0.04
2021-02-16,,Paris Gare de Lyon,0.04
2021-02-17,,Paris Gare de Lyon,0.04
2021-02-17,,Paris Gare de Lyon,0.04
2021-02-17,,Paris Gare de Lyon,0.04
2021-02-17,,Paris Gare de Lyon,0.04
2021-02-17,,Paris Gare de Lyon,0.04
2021-02-17,,Paris Gare de Lyon,0.04
2021-02-18,,Paris Gare de Lyon,0.04
2021-02-18,,Paris Gare de Lyon,0.04
2021-02-18,,Paris Gare de Lyon,0.04
2021-02-19,,Paris Gare de Lyon,0.04
2021-02-19,,Paris Gare de Lyon,0.04
2021-02-20,,Paris Gare de Lyon,0.04
2021-02-21,,Paris Gare de Lyon,0.04
2021-02-21,,Paris Gare de Lyon,0.04
2021-02-21,,Paris Gare de Lyon,0.04
2021-02-21,,Paris Gare de Lyon,0.04
2021-02-21,,Paris Gare de Lyon,0.04
2021-02-21,,Paris Gare de Lyon,0.04
2021-02-21,,Paris Gare de Lyon,0.04
2021-02-22,,Paris Gare de Lyon,0.04
2021-02-22,,Paris Gare de Lyon,0.04
2021-02-23,,Paris Gare de Lyon,0.04
2021-02-23,,Paris Gare de Lyon,0.04
2021-02-23,,Paris Gare de Lyon,0.04
2021-02-23,,Paris Gare de Lyon,0.04
2021-02-23,,Paris Gare de Lyon,0.04
2021-02-23,,Paris Gare de Lyon,0.04
2021-02-23,,Paris Gare de Lyon,0.04
2021-02-24,,Paris Gare de Lyon,0.04
2021-02-24,,Paris Gare de Lyon,0.04
2021-02-24,,Paris Gare de Lyon,0.04
2021-02-24,,Paris Gare de Lyon,0.04
2021-02-24,,Paris Gare de Lyon,0.04
2021-02-24,,Paris Gare de Lyon,0.04
2021-02-24,,Paris Gare de Lyon,0.04
2021-02-25,,Paris Gare de Lyon,0.04
2021-02-25,,Paris Gare de Lyon,0.04
2021-02-25,,Paris Gare de Lyon,0.04
2021-02-25,,Paris Gare de Lyon,0.04
2021-02-26,,Paris Gare de Lyon,0.04
2021-02-26,,Paris Gare de Lyon,0.04
2021-02-26,,Paris Gare de Lyon,0.04
2021-02-26,,Paris Gare de Lyon,0.04
2021-02-26,,Paris Gare de Lyon,0.04
2021-02-26,,Paris Gare de Lyon,0.04
2021-02-26,,Paris Gare de Lyon,0.04
2021-02-26,,Paris Gare de Lyon,0.04
2021-02-26,,Paris Gare de Lyon,0.04
2021-02-27,,Paris Gare de Lyon,0.04
2021-02-27,,Paris Gare de Lyon,0.04
2021-02-27,,Paris Gare de Lyon,0.04
2021-02-27,,Paris Gare de Lyon,0.04
2021-02-27,,Paris Gare de Lyon,0.04
2021-02-27,,Paris Gare de Lyon,0.04
2021-02-28,,Paris Gare de Lyon,0.04
2021-02-28,,Paris Gare de Lyon,0.04
2021-03-01,,Paris Gare de Lyon,0.04
2021-03-01,,Paris Gare de Lyon,0.04
2021-03-02,,Paris Gare de Lyon,0.04
2021-03-02,,Paris Gare de Lyon,0.04
2021-03-02,,Paris Gare de Lyon,0.04
2021-03-02,,Paris Gare de Lyon,0.04
