id,date,type,nom_gare,année,frequent_2021,frequent_2022,frequent_2023,frequent_2021_norm,frequent_2022_norm,frequent_2023_norm,comptage_normalisé,comptage_normalisé_total
1,2021-01-01,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,27.72429255029318
2,2021-01-02,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,83.17287765087954
3,2021-01-02,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,83.17287765087954
4,2021-01-02,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,83.17287765087954
5,2021-01-03,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,55.44858510058636
6,2021-01-03,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,55.44858510058636
7,2021-01-04,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,55.44858510058636
8,2021-01-04,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,55.44858510058636
9,2021-01-05,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,194.07004785205226
10,2021-01-05,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,194.07004785205226
11,2021-01-05,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,194.07004785205226
12,2021-01-05,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,194.07004785205226
13,2021-01-05,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,194.07004785205226
14,2021-01-05,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,194.07004785205226
15,2021-01-05,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,194.07004785205226
16,2021-01-06,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,110.89717020117271
17,2021-01-06,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,110.89717020117271
18,2021-01-06,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,110.89717020117271
19,2021-01-06,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,110.89717020117271
20,2021-01-07,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,221.79434040234543
21,2021-01-07,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,221.79434040234543
22,2021-01-07,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,221.79434040234543
23,2021-01-07,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,221.79434040234543
24,2021-01-07,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,221.79434040234543
25,2021-01-07,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,221.79434040234543
26,2021-01-07,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,221.79434040234543
27,2021-01-07,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,221.79434040234543
28,2021-01-08,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,138.62146275146588
29,2021-01-08,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,138.62146275146588
30,2021-01-08,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,138.62146275146588
31,2021-01-08,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,138.62146275146588
32,2021-01-08,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,138.62146275146588
33,2021-01-09,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,138.62146275146588
34,2021-01-09,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,138.62146275146588
35,2021-01-09,,Paris Gare de Lyon,2021,189125448,231360748,251046517,27.72429255029318,33.91565297022671,36.80143076800616,27.72429255029318,138.62146275146588
