#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-10-01,27,15,9,15,24,25,0,67,10,1025,15.625,27,10,15,113,113,113,0,6,10.2,météo idéale,19:31:00,07:50:00,16
2023-10-02,28,18,11,18,26,26,0,54,10,1021,17.25,27,11,18,113,122,113,0,6,10.2,météo correcte,19:28:00,07:51:00,19
2023-10-03,23,14,23,19,17,18,0,77,10,1028,38.375,25,15,17,122,119,113,0,5,8.7,météo correcte,19:26:00,07:53:00,22
2023-10-04,19,12,9,12,17,18,0,77,10,1030,18.5,19,9,12,116,116,116,0,5,11.6,météo favorable,19:24:00,07:54:00,13
2023-10-05,20,12,5,13,18,18,0,67,10,1027,40.625,20,8,13,116,116,113,0,5,11.6,météo favorable,19:22:00,07:56:00,13
2023-10-06,22,13,6,14,20,19,0,54,10,1027,5.375,23,5,14,113,113,113,0,5,11.6,météo favorable,19:20:00,07:57:00,15
2023-10-07,25,13,6,14,22,22,0,52,10,1026,3,24,6,14,113,113,113,0,5,11.6,météo favorable,19:18:00,07:58:00,14
2023-10-08,25,15,6,16,23,22,0,60,10,1027,11.875,25,10,16,113,113,113,0,5,11.2,météo idéale,19:16:00,08:00:00,17
2023-10-09,26,16,4,16,24,23,0,72,10,1026,11.25,26,11,16,113,113,116,0,6,11.1,météo idéale,19:14:00,08:01:00,17
2023-10-10,28,17,9,17,25,24,0,61,10,1023,5.5,27,10,17,113,113,113,0,6,11.1,météo idéale,19:12:00,08:03:00,18
2023-10-11,26,17,17,17,24,23,0,46,10,1019,9.5,25,9,17,113,113,113,0,6,11.1,météo idéale,19:10:00,08:04:00,18
2023-10-12,24,18,16,19,22,23,0.1,61,10,1018,64.5,25,13,18,176,116,116,0,6,10.1,météo correcte,19:08:00,08:06:00,19
2023-10-13,27,19,18,19,23,23,0.1,78,10,1016,47.75,26,15,19,116,116,116,0,6,11,météo favorable,19:06:00,08:07:00,19
2023-10-14,19,12,17,13,14,14,0,56,10,1024,71.125,19,13,11,113,122,119,0,3,7,météo défavorable,19:04:00,08:09:00,15
2023-10-15,14,10,12,12,13,12,0,57,10,1025,52.125,14,4,10,116,113,113,0,3,10.1,météo correcte,19:02:00,08:10:00,12
2023-10-16,14,7,19,7,12,12,0,63,10,1025,72.25,14,1,5,122,122,113,0,3,8.5,météo défavorable,19:00:00,08:12:00,8
2023-10-17,17,6,13,7,14,15,0,57,10,1016,29.125,17,4,4,113,113,119,0,4,10,météo correcte,18:58:00,08:13:00,7
2023-10-18,20,14,18,15,16,18,1.1,83,8,1007,74.125,20,16,14,176,116,353,0,4,6.8,météo défavorable,18:56:00,08:15:00,15
2023-10-19,16,14,21,15,16,16,1.4,89,8.875,997,69.875,16,13,14,116,119,176,0,5,5.2,météo défavorable,18:54:00,08:16:00,15
2023-10-20,18,14,20,15,16,17,0.9,84,9,982,91.25,18,15,13,176,176,353,0,4,5.2,météo défavorable,18:52:00,08:18:00,16
2023-10-21,14,11,31,12,14,13,3,84,8.875,1001,94.75,14,11,8,176,176,353,0,3,5.2,météo défavorable,18:50:00,08:19:00,13
2023-10-22,17,12,16,12,15,15,0.3,84,10,1012,56.375,17,11,11,176,113,113,0,3,10,météo correcte,18:48:00,08:21:00,13
2023-10-23,16,11,19,12,14,16,0,67,10,1012,66.75,16,11,10,119,116,176,0,4,5.1,météo défavorable,18:46:00,08:22:00,12
2023-10-24,17,11,21,12,15,15,0.1,84,10,1009,63.75,17,10,10,176,113,119,0,3,10,météo correcte,18:44:00,08:24:00,12
2023-10-25,14,11,28,14,12,13,0.4,80,9,1001,89.5,14,10,10,176,176,119,0,3,5.1,météo défavorable,18:43:00,08:26:00,13
2023-10-26,16,11,21,12,14,13,4.1,89,9.25,999,70.125,16,11,11,389,116,296,0,4,8.3,météo défavorable,18:41:00,08:27:00,11
2023-10-27,15,11,22,12,15,13,0.4,83,9,999,65.75,15,10,10,353,176,176,0,4,5.1,météo défavorable,18:39:00,08:29:00,11
2023-10-28,15,11,21,12,14,15,1.7,82,9.875,999,94.875,15,11,9,119,176,176,0,3,5,météo défavorable,18:37:00,08:30:00,12
2023-10-29,15,13,26,13,13,13,2,86,9,1000,96.25,15,11,11,176,353,353,0,3,5,météo défavorable,18:36:00,08:32:00,14
2023-10-30,13,11,12,12,13,12,0.9,83,9.875,1001,76,13,10,11,176,296,116,0,3,3.8,météo défavorable,17:34:00,07:34:00,13
2023-10-31,15,9,18,9,12,13,0.5,94,10,1008,79.125,15,10,7,119,122,353,0,3,3.7,météo défavorable,17:33:00,07:36:00,9
